Marca,Model,Anul,Kilometrajul,Capacitatea motorului,Tipul de combustibil,Preț
Audi,A7,2015,188 350 km,2 967 cm3,Diesel,27 900
Audi,A7,2019,56 000 km,2 967 cm3,Diesel,54 000
Audi,A8,2020,106 910 km,2 967 cm3,Diesel,59 998
Audi,A8,2012,203 063 km,2 967 cm3,Diesel,17 750
Audi,A8 L,2017,242 681 km,2 967 cm3,Diesel,25 500
Audi,A8,2015,196 000 km,2 967 cm3,Diesel,22 499
Audi,A8,2022,27 500 km,2 995 cm3,Benzina,79 718
Audi,A8,2015,210 000 km,2 967 cm3,Diesel,24 990
Audi,A8 L,2018,75 000 km,2 995 cm3,Benzina,53 550
Audi,A8,2017,191 000 km,2 967 cm3,Diesel,25 999
Audi,A8,2017,155 000 km,2 967 cm3,Diesel,46 500
Audi,A8,2015,208 000 km,2 967 cm3,Diesel,21 900
Audi,A8 L,2011,225 000 km,2 967 cm3,Diesel,16 500
Audi,A8,2014,230 000 km,3 000 cm3,Diesel,20 900
Audi,A8,2021,65 657 km,2 995 cm3,Hibrid Plug-In,71 500
Audi,A8,2013,280 000 km,2 967 cm3,Diesel,17 000
Audi,A8 L,2020,45 000 km,2 967 cm3,Diesel,69 000
Audi,A8 L,2015,135 611 km,2 967 cm3,Diesel,26 950
Audi,A8,2013,177 065 km,2 967 cm3,Diesel,18 900
Audi,A8,2012,309 540 km,2 967 cm3,Diesel,14 950
Audi,A8,2015,250 000 km,2 967 cm3,Diesel,22 500
Audi,A8,2018,149 000 km,2 967 cm3,Diesel,45 999
Audi,A8 L,2012,300 000 km,2 967 cm3,Diesel,13 990
Audi,A8,2017,190 000 km,2 967 cm3,Diesel,26 890
Audi,A8,2018,59 000 km,2 995 cm3,Hibrid,53 000
Audi,A8,2023,12 309 km,2 995 cm3,Benzina,99 998
Audi,A8,2016,243 000 km,2 967 cm3,Diesel,25 800
Audi,A8,2007,289 000 km,2 967 cm3,Diesel,7 350
Audi,A8,2020,62 900 km,2 995 cm3,Hibrid Plug-In,68 500
Audi,A8,2018,55 000 km,2 995 cm3,Benzina,49 999
Audi,A8,2018,6 167 km,2 967 cm3,Diesel,55 950
Audi,A8 L,2017,316 601 km,2 967 cm3,Diesel,26 990
Audi,A8,2022,41 790 km,2 967 cm3,Diesel,69 549
BMW,BMW X5 M,2022,12 000 km,4 395 cm3,Benzina,119 899
BMW,BMW 3,2019,137 300 km,1 998 cm3,Benzina,29 970
BMW,BMW Z4 M,2023,13 347 km,2 998 cm3,Benzina,56 168
BMW,BMW 4,2023,19 254 km,1 998 cm3,Benzina,42 991
BMW,BMW X1 xDrive23d,2010,235 000 km,1 995 cm3,Diesel,10 999
BMW,BMW 5,2010,299 000 km,2 993 cm3,Diesel,10 500
BMW,BMW 3,2012,235 000 km,1 995 cm3,Diesel,10 999
BMW,BMW 1,2012,188 000 km,1 995 cm3,Diesel,8 299
BMW,BMW X1 xDrive25d,2016,150 000 km,1 995 cm3,Diesel,21 999
BMW,BMW 2,2019,184 993 km,1 496 cm3,Diesel,16 450
BMW,BMW X5 xDrive40d,2010,240 000 km,2 993 cm3,Diesel,13 500
BMW,BMW 3,2013,235 000 km,1 995 cm3,Diesel,11 490
BMW,BMW 5,2012,237 196 km,1 995 cm3,Diesel,11 989
BMW,BMW X4 M,2020,98 500 km,2 993 cm3,Benzina,58 310
